ID,ComplainDate,CompletionDate,CustomerID,BrokerID,ProductID,ComplainPriorityID,ComplainTypeID,ComplainSourceID,ComplainCategoryID,ComplainStatusID,AdministratorID,ClientSatisfaction,ExpectedReimbursement
7,2011-12-20,2012-01-13,620216,7640,73,1,5,5,18,9,98,SAT,0.0
8,2011-12-20,2011-12-23,672165,10967,62,1,7,3,18,9,98,SAT,0.0
16,2011-12-27,2012-01-26,11606,11127,41,1,3,5,13,9,98,NSA,0.0
17,2011-12-27,2012-01-27,872360,10637,4,1,5,5,11,9,98,Not Rated,0.0
18,2011-12-27,2012-01-18,2004046,12116,12,1,3,5,10,9,98,Not Rated,0.0
19,2011-12-27,2012-02-14,211339,11104,6,1,3,5,18,9,98,Not Rated,0.0
20,2011-12-27,2012-01-11,1799451,11474,8,1,7,3,10,9,98,Not Rated,0.0
22,2011-12-27,2012-01-27,812350,8946,22,1,3,5,32,9,98,NSA,0.0
23,2011-12-29,2012-01-12,146389,10989,65,1,3,5,13,9,98,SAT,0.0
24,2011-12-29,2012-01-19,2067669,586,11,1,3,5,11,9,98,SAT,0.0
25,2011-12-30,2012-01-03,2100574,9562,64,1,7,3,11,9,98,SAT,0.0
26,2011-12-30,2012-01-13,1884347,11768,55,1,7,3,11,9,98,SAT,0.0
27,2011-12-30,2012-01-13,358206,194,15,1,7,8,4,9,98,SAT,0.0
28,2011-12-30,2012-01-05,1857235,10127,32,1,7,3,11,9,98,Not Rated,0.0
29,2012-01-02,2012-01-13,2504515,7973,14,1,2,1,15,9,98,SAT,0.0
30,2012-01-02,2012-01-18,521286,879,22,1,3,5,46,9,98,SAT,0.0
31,2012-01-03,2012-01-30,1870977,1748,50,1,5,5,10,9,98,Not Rated,0.0
32,2012-01-03,2012-01-19,2167216,12133,54,1,3,5,10,9,98,SAT,0.0
33,2012-01-03,2012-01-05,473390,11175,48,1,7,8,13,9,98,SAT,0.0
34,2012-01-03,2012-01-13,192720,8855,29,1,2,1,11,9,98,SAT,0.0
35,2012-01-03,2012-01-24,2056385,10989,37,1,3,5,11,9,98,Not Rated,0.0
36,2012-01-04,2012-01-31,61273,10426,19,1,3,5,10,9,98,NSA,0.0
38,2012-01-04,2012-01-18,1868814,11487,13,1,4,5,18,9,98,Not Rated,0.0
39,2012-01-05,2012-01-09,707502,11131,31,2,3,5,19,9,98,SAT,0.0
40,2012-01-05,2012-01-27,705842,2478,52,1,3,5,13,9,98,Not Rated,0.0
41,2012-01-05,2012-01-19,1793304,10067,8,2,3,5,10,9,98,SAT,0.0
42,2012-01-05,2012-01-30,1896503,11747,40,2,3,5,13,9,98,SAT,0.0
43,2012-01-05,2012-02-03,1708551,10722,66,1,3,5,11,9,98,Not Rated,0.0
44,2012-01-09,2012-02-07,592765,11122,10,1,3,5,10,9,98,Not Rated,0.0
46,2012-01-10,2012-01-20,1905644,10990,51,2,3,5,11,9,98,NSA,0.0
47,2012-01-10,2012-01-23,894502,11796,22,1,4,5,13,9,98,SAT,0.0
48,2012-01-10,2012-01-18,2018516,12475,32,2,3,5,50,9,98,Not Rated,0.0
49,2012-01-10,2012-01-18,590346,10160,78,1,3,5,10,9,98,Not Rated,0.0
50,2012-01-10,2012-02-09,1815182,1350,40,2,3,5,4,9,98,NSA,0.0
52,2012-01-11,2012-01-19,1753652,11213,41,1,5,3,15,9,98,Not Rated,0.0
53,2012-01-12,2012-02-24,2092556,11194,41,1,4,5,18,9,98,SAT,0.0
54,2012-01-12,2012-02-03,1832844,1876,28,1,3,1,11,9,98,NSA,0.0
55,2012-01-12,2012-01-30,768137,10327,40,1,3,5,11,9,98,Not Rated,0.0
56,2012-01-12,2012-01-30,194839,1846,38,1,3,5,11,9,98,SAT,0.0
57,2012-01-13,2012-02-22,1919794,8840,78,1,3,5,13,9,98,SAT,0.0
58,2012-01-13,2012-01-30,680807,11051,7,1,3,5,10,9,98,SAT,0.0
61,2012-01-13,2012-01-25,60774,10326,9,2,3,5,15,9,98,SAT,0.0
62,2012-01-13,2012-01-18,171281,10534,49,2,3,1,32,9,98,SAT,0.0
64,2012-01-16,2012-01-30,543673,8858,1,1,7,3,11,9,98,SAT,0.0
65,2012-01-16,2012-01-16,1815782,11715,77,2,7,8,54,9,98,Not Rated,0.0
66,2012-01-16,2012-02-13,119887,11676,72,1,5,8,11,9,98,SAT,0.0
67,2012-01-16,2012-01-30,1985063,10964,72,2,3,5,10,9,98,Not Rated,0.0
68,2012-01-17,2012-02-01,324573,9633,20,1,4,5,18,9,98,NSA,0.0
69,2012-01-19,2012-01-19,794018,11265,16,2,3,5,10,9,98,Not Rated,0.0
70,2012-01-19,2012-01-31,1831617,11974,45,1,3,1,10,9,98,Not Rated,0.0
71,2012-01-19,2012-01-25,1618124,10127,21,2,3,5,11,9,98,Not Rated,0.0
72,2012-01-20,2012-02-09,2385789,194,38,1,3,5,4,9,98,Not Rated,0.0
73,2012-01-20,2012-01-31,706343,10618,68,2,3,1,18,9,98,SAT,0.0
74,2012-01-23,2012-01-26,2133073,9393,61,1,3,5,11,9,98,SAT,0.0
75,2012-01-23,2012-01-30,1849031,9958,31,1,2,1,11,9,98,Not Rated,0.0
76,2012-01-23,2012-01-30,2427034,9419,12,1,7,3,11,9,98,SAT,0.0
77,2012-01-23,2012-01-23,2314317,11162,75,1,3,5,11,9,98,Not Rated,0.0
78,2012-01-23,2012-01-25,893040,9968,48,2,2,1,34,9,98,SAT,0.0
79,2012-01-23,2012-01-27,152064,10016,64,2,3,1,18,9,98,SAT,0.0
80,2012-01-24,2012-02-10,822643,11638,26,1,3,1,11,9,98,SAT,0.0
81,2012-01-24,2012-02-03,2092222,2478,35,1,3,5,13,9,98,NSA,0.0
82,2012-01-25,2012-02-14,890558,2690,17,1,3,2,11,9,98,Not Rated,0.0
83,2012-01-25,2012-02-02,766673,11978,1,1,3,1,11,9,98,Not Rated,0.0
84,2012-01-25,2012-02-01,2127811,1140,2,1,2,3,3,9,98,SAT,0.0
85,2012-01-27,2012-02-01,1749781,11590,58,1,7,3,11,9,98,SAT,0.0
86,2012-01-27,2012-02-09,705909,356,36,1,3,5,34,9,98,NSA,0.0
87,2012-01-27,2012-02-09,2152374,8965,8,1,3,5,11,9,98,Not Rated,0.0
88,2012-01-27,2012-02-03,64350,9357,40,2,3,5,18,9,98,SAT,0.0
89,2012-01-27,2012-03-14,636141,1256,20,1,4,5,11,9,98,NSA,0.0
97,2012-01-27,2012-02-28,888788,2613,13,1,5,5,10,9,98,Not Rated,0.0
99,2012-01-30,2012-02-14,1709876,597,37,1,3,5,10,9,98,NSA,0.0
100,2012-01-31,2012-02-07,1826580,10186,11,1,3,5,10,9,98,SAT,0.0
