ID,ComplaintID,ComplaintStatusID,StatusDate
129,10028,9,2018-09-19
33,10033,1,2018-09-12
34,10033,9,2018-09-12
67,10051,3,2018-09-14
68,10051,4,2018-09-14
69,10051,9,2018-09-14
334,10052,3,2018-09-28
341,10052,9,2018-10-01
20,10053,1,2018-09-12
338,10053,4,2018-10-01
579,10053,1,2018-10-17
620,10053,4,2018-10-19
649,10053,1,2018-10-22
664,10053,9,2018-10-23
95,10071,9,2018-09-18
158,10074,9,2018-09-20
96,10083,1,2018-09-18
102,10083,4,2018-09-18
171,10083,3,2018-09-21
210,10083,4,2018-09-25
378,10083,9,2018-10-03
121,10090,3,2018-09-19
162,10090,4,2018-09-20
1049,10090,1,2018-11-13
1052,10090,4,2018-11-13
1143,10090,9,2018-11-19
161,10101,1,2018-09-20
175,10101,4,2018-09-21
266,10101,9,2018-09-26
92,10104,3,2018-09-17
135,10104,9,2018-09-20
50,10106,4,2018-09-13
168,10106,1,2018-09-21
440,10106,9,2018-10-09
30,10108,3,2018-09-12
32,10108,1,2018-09-12
55,10108,3,2018-09-13
97,10108,9,2018-09-18
12,10117,3,2018-09-11
174,10117,9,2018-09-21
16,10119,4,2018-09-11
160,10119,1,2018-09-20
188,10119,4,2018-09-24
204,10119,9,2018-09-24
71,10124,3,2018-09-14
333,10124,9,2018-09-28
9,10125,4,2018-09-11
19,10125,1,2018-09-12
23,10125,3,2018-09-12
61,10125,9,2018-09-13
3,10126,1,2018-09-11
10,10126,9,2018-09-11
4,10127,9,2018-09-11
5,10128,9,2018-09-11
141,10129,4,2018-09-20
599,10129,9,2018-10-17
41,10130,3,2018-09-13
60,10130,1,2018-09-13
63,10130,9,2018-09-13
2,10131,1,2018-09-11
15,10131,3,2018-09-11
93,10131,9,2018-09-18
11,10133,9,2018-09-11
1,10134,1,2018-09-11
21,10134,1,2018-09-12
110,10134,4,2018-09-19
111,10134,1,2018-09-19
224,10134,3,2018-09-25
346,10134,4,2018-10-01
482,10134,3,2018-10-10
489,10134,9,2018-10-10
6,10135,1,2018-09-11
13,10135,3,2018-09-11
78,10135,4,2018-09-17
79,10135,3,2018-09-17
85,10135,9,2018-09-17
7,10136,1,2018-09-11
8,10136,4,2018-09-11
59,10136,1,2018-09-13
164,10136,3,2018-09-21
263,10136,9,2018-09-26
14,10137,1,2018-09-11
22,10137,9,2018-09-12
17,10138,2,2018-09-11
87,10138,9,2018-09-17
18,10139,2,2018-09-11
114,10139,1,2018-09-19
146,10139,9,2018-09-20
24,10140,1,2018-09-12
29,10140,4,2018-09-12
297,10140,3,2018-09-27
433,10140,9,2018-10-08
25,10141,2,2018-09-12
116,10141,1,2018-09-19
159,10141,9,2018-09-20
26,10142,2,2018-09-12
117,10142,1,2018-09-19
147,10142,9,2018-09-20
27,10143,2,2018-09-12
118,10143,1,2018-09-19
149,10143,9,2018-09-20
28,10144,1,2018-09-12
58,10144,4,2018-09-13
393,10144,1,2018-10-04
394,10144,3,2018-10-04
467,10144,9,2018-10-09
31,10145,1,2018-09-12
56,10145,3,2018-09-13
98,10145,9,2018-09-18
35,10146,1,2018-09-13
52,10146,4,2018-09-13
105,10146,9,2018-09-19
36,10147,1,2018-09-13
49,10147,4,2018-09-13
136,10147,9,2018-09-20
37,10148,1,2018-09-13
44,10148,4,2018-09-13
515,10148,9,2018-10-12
38,10154,1,2018-09-13
45,10154,4,2018-09-13
488,10154,9,2018-10-10
39,10155,1,2018-09-13
40,10155,4,2018-09-13
54,10155,1,2018-09-13
88,10155,3,2018-09-17
101,10155,9,2018-09-18
42,10156,2,2018-09-13
119,10156,1,2018-09-19
150,10156,9,2018-09-20
43,10157,2,2018-09-13
120,10157,1,2018-09-19
151,10157,9,2018-09-20
46,10158,2,2018-09-13
199,10158,9,2018-09-24
47,10159,2,2018-09-13
122,10159,1,2018-09-19
152,10159,9,2018-09-20
48,10160,1,2018-09-13
57,10160,4,2018-09-13
163,10160,1,2018-09-20
265,10160,4,2018-09-26
478,10160,1,2018-10-10
487,10160,9,2018-10-10
51,10161,2,2018-09-13
123,10161,1,2018-09-19
153,10161,9,2018-09-20
53,10162,2,2018-09-13
115,10162,1,2018-09-19
154,10162,9,2018-09-20
62,10163,1,2018-09-13
107,10163,4,2018-09-19
373,10163,1,2018-10-03
479,10163,4,2018-10-10
627,10163,9,2018-10-19
64,10164,1,2018-09-14
65,10164,4,2018-09-14
1060,10164,1,2018-11-13
1165,10164,3,2018-11-20
1282,10164,9,2018-11-27
66,10165,1,2018-09-14
70,10165,9,2018-09-14
72,10166,9,2018-09-14
73,10167,1,2018-09-14
165,10167,3,2018-09-21
525,10167,9,2018-10-15
74,10168,2,2018-09-14
200,10168,9,2018-09-24
75,10169,2,2018-09-14
201,10169,1,2018-09-24
209,10169,9,2018-09-24
76,10170,2,2018-09-14
173,10170,4,2018-09-21
222,10170,1,2018-09-25
231,10170,4,2018-09-25
549,10170,9,2018-10-15
77,10171,2,2018-09-14
124,10171,1,2018-09-19
155,10171,9,2018-09-20
80,10172,1,2018-09-17
83,10172,4,2018-09-17
130,10172,9,2018-09-19
81,10173,2,2018-09-17
125,10173,1,2018-09-19
156,10173,9,2018-09-20
82,10174,1,2018-09-17
86,10174,4,2018-09-17
495,10174,9,2018-10-11
84,10175,2,2018-09-17
203,10175,1,2018-09-24
207,10175,9,2018-09-24
89,10176,1,2018-09-17
90,10176,4,2018-09-17
299,10176,1,2018-09-27
